מס',כלל,הסבר הכלל,מקור,Ver,חסר
45,אמוראי דנהרדעי ,רב חמא,,11,
46,אמוראי דפומבדיתא ,רבה ורב יוסף,,11,
47,אמוראים,"משנה שגורה בפי כל, ברייתא לא שגורה בפי כל ",,12,
48,אמר מר,"כשהגמרא רוצה לעשות משא ומתן על מה שנאמר קודם 
- אם מה שקדם הביאו הגמרא במקרה  \  או שהביאו הברייתא 
אם הביאו במקרה - זה גופא","כללי שמואל
של""ה",7,
49,אמר ר' פלוני,"שנאמר בבית המדרש
במחלוקת בין חכמים אומר בחכם אחרון שחולק 'פלוני אומר'  מקדים שמו לאמירתו","כללי שמואל
הליכות עולם",11,
50,"אמר רב יוסף, דרשינהו רב נחמן להני קראי כסיני",לרב יוסף היו המשניות וברייתות סדורות לו כנתינתן מהר סיני,רבנו גרשום,10,
51,אמר רחמנא,הלכה למשה מסיני,סדר תנאים ואמוראים,8,
52,אמרה תורה,"אדבר שאין כתוב בתורה רק בדברי קבלה
(ראה עוד פרושים)",רבי יוסף ענג'ל,11,
53,אמרי,אי כלהו מרבנן שמעוה למלתא ואמרוה כחדא ,ר' שרירא גאון,8,
54,אמרי תרוויהו,"רק בדבר בזה הם מסכימים, ובשאר מקומות הם בר פלוגתה",כללי שמואל ,8,
55,אני אומר – אומר אני,"אני אומר : מדגיש את האני 
אומר אני : מדגיש את האמירה ",רבי אהרן מגיד,10,
56,אסמכינהו רבנן אקראי,הלכה למשה מסיני,,8,
57,אף אנן נמי תנינא,"תניא נמי הכי \ תניא דמסייע לך \ אף אנן נמי תנינא - המאמר מובא לצרכי סיוע ולא להקשות 
מאי נפקא מינה \ למאי הלכתא - מה התועלת היוצא מהמאר הזה ","של""ה",7,
,אף,בא להוסיף ולא לחלוק,,14,
58,אף על פי – אף על גב,"אע""ג דמימרא\המשנה\הברייתא ההיא נראה דקשיא לן, יש לנו לתרץ כך","של""ה",11,
59,אריוך," הוא שמואל (הכהן), על שם שהלכה כמותו בדיני ואריוך היה מלך ודינא דמלכותא דינא. באיסור לית הלכתא כותיה",הליכות עולם,11,
60,אתה אומר,"כדרך ..שאומר לו על דבר המוסכם אצלו, 'אני אומר', או בדבר המוסכם לחבירו, 'אתה אומר'",אוצר לשון התוספתא,12,
61,איתמר,פתיחה להבאת מחלוקת אמוראים,,10,
62,אתקפתא,קושית אמורא מכח פלפול וסברא ולא מכח משנה וברייתא,הליכות עולם,8,
63,באמת אמרו,כל באמת אמרו הלכה היא ,הליכות עולם,10,
64,בין בין,"""בין"" האחרון פשוט יותר מ""בין"" הראשון",יד מלאכי,11,
65,בית הלל כסתם משנה חשבינן להו,בית הלל כסתם משנה ,הליכות עולם,11,
66,במאי אוקימתא,מסיק כך המקשן מתוך דברי המקשן - אף על פי שלא שמע מהאמורא,הליכות אלי ,10,
67,במאי עסקינן,שואלים בתלמוד על המשנה - כאשר יש במשנה דבר לא מכוון,"רש""י",10,
68,במאי פליגי,כאשר יש שווי משקל בסברא של כל אחד משני החולקים,הליכות אלי,10,
69,במאי קא מיפלגי,באיזה סברא נחלקו ,"כללי שמואל - של""ה",11,
70,במה,"- לחלוק (במשנה) 
- לפרש דברי חכמים",יד מלאכי ,11,
71,במה דברים אמורים,"- לחלוק
- הלכה למשה מסיני",ספר הכריתות,11,
